Assembly Accession	Assembly Unplaced Count	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count
GCF_008728515.1		Primary Assembly	16	41520967	45.5	CM018195.1	Chromosome		NC_044991.1	assembled-molecule	91184193		
GCF_008728515.1		Primary Assembly	17	33963690	45.5	CM018196.1	Chromosome		NC_044992.1	assembled-molecule	74525926		
GCF_008728515.1		Primary Assembly	18	32537960	44.5	CM018197.1	Chromosome		NC_044993.1	assembled-molecule	72894408		
GCF_008728515.1		Primary Assembly	19	28794599	40	CM018198.1	Chromosome		NC_044994.1	assembled-molecule	72123344		
GCF_008728515.1		Primary Assembly	20	24294013	48.5	CM018199.1	Chromosome		NC_044995.1	assembled-molecule	50021108		
GCF_008728515.1		Primary Assembly	X	55964484	39.5	CM018200.1	Chromosome		NC_044996.1	assembled-molecule	142711496		
GCF_008728515.1		Primary Assembly	Y	3306367	40	CM018201.1	Chromosome		NC_044997.1	assembled-molecule	8309886		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000023.1	Chromosome		NW_022159127.1	unplaced-scaffold	132808		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000024.1	Chromosome		NW_022162021.1	unplaced-scaffold	25000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000025.1	Chromosome		NW_022163105.1	unplaced-scaffold	22638		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000026.1	Chromosome		NW_022164163.1	unplaced-scaffold	115160		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000027.1	Chromosome		NW_022165198.1	unplaced-scaffold	25000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000028.1	Chromosome		NW_022166215.1	unplaced-scaffold	25000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000029.1	Chromosome		NW_022167221.1	unplaced-scaffold	25000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000030.1	Chromosome		NW_022168221.1	unplaced-scaffold	181642		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000031.1	Chromosome		NW_022169239.1	unplaced-scaffold	5000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000032.1	Chromosome		NW_022159128.1	unplaced-scaffold	5000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000033.1	Chromosome		NW_022160124.1	unplaced-scaffold	271565		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000034.1	Chromosome		NW_022161136.1	unplaced-scaffold	25000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000035.1	Chromosome		NW_022161247.1	unplaced-scaffold	820000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000036.1	Chromosome		NW_022161358.1	unplaced-scaffold	25000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000037.1	Chromosome		NW_022161469.1	unplaced-scaffold	69221		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000038.1	Chromosome		NW_022161579.1	unplaced-scaffold	25000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000039.1	Chromosome		NW_022161690.1	unplaced-scaffold	85725		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000040.1	Chromosome		NW_022161800.1	unplaced-scaffold	25000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000041.1	Chromosome		NW_022161910.1	unplaced-scaffold	25000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000042.1	Chromosome		NW_022162022.1	unplaced-scaffold	815767		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000043.1	Chromosome		NW_022162131.1	unplaced-scaffold	61967		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000044.1	Chromosome		NW_022162241.1	unplaced-scaffold	25000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000045.1	Chromosome		NW_022162350.1	unplaced-scaffold	25000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000046.1	Chromosome		NW_022162457.1	unplaced-scaffold	25000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000047.1	Chromosome		NW_022162567.1	unplaced-scaffold	145424		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000048.1	Chromosome		NW_022162676.1	unplaced-scaffold	675809		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000049.1	Chromosome		NW_022162783.1	unplaced-scaffold	665174		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000050.1	Chromosome		NW_022162889.1	unplaced-scaffold	101308		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000051.1	Chromosome		NW_022162995.1	unplaced-scaffold	25000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000052.1	Chromosome		NW_022163106.1	unplaced-scaffold	25000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000053.1	Chromosome		NW_022163214.1	unplaced-scaffold	25000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000054.1	Chromosome		NW_022163323.1	unplaced-scaffold	56503		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000055.1	Chromosome		NW_022163430.1	unplaced-scaffold	5000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000056.1	Chromosome		NW_022163534.1	unplaced-scaffold	49977		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000057.1	Chromosome		NW_022163640.1	unplaced-scaffold	511666		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000058.1	Chromosome		NW_022163746.1	unplaced-scaffold	481610		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000059.1	Chromosome		NW_022163852.1	unplaced-scaffold	481507		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000060.1	Chromosome		NW_022163956.1	unplaced-scaffold	5000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000061.1	Chromosome		NW_022164059.1	unplaced-scaffold	82979		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000062.1	Chromosome		NW_022164164.1	unplaced-scaffold	470574		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000063.1	Chromosome		NW_022164268.1	unplaced-scaffold	468387		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000064.1	Chromosome		NW_022164369.1	unplaced-scaffold	467563		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000065.1	Chromosome		NW_022164475.1	unplaced-scaffold	442377		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000066.1	Chromosome		NW_022164575.1	unplaced-scaffold	434621		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000067.1	Chromosome		NW_022164678.1	unplaced-scaffold	414559		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000068.1	Chromosome		NW_022164783.1	unplaced-scaffold	408254		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000069.1	Chromosome		NW_022164886.1	unplaced-scaffold	407345		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000070.1	Chromosome		NW_022164993.1	unplaced-scaffold	403405		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000071.1	Chromosome		NW_022165096.1	unplaced-scaffold	401198		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000072.1	Chromosome		NW_022165199.1	unplaced-scaffold	400076		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000073.1	Chromosome		NW_022165303.1	unplaced-scaffold	400012		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000074.1	Chromosome		NW_022165406.1	unplaced-scaffold	399765		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000075.1	Chromosome		NW_022165509.1	unplaced-scaffold	397984		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000076.1	Chromosome		NW_022165612.1	unplaced-scaffold	392570		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000077.1	Chromosome		NW_022165718.1	unplaced-scaffold	388841		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000078.1	Chromosome		NW_022165820.1	unplaced-scaffold	258236		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000079.1	Chromosome		NW_022165919.1	unplaced-scaffold	25000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000080.1	Chromosome		NW_022166019.1	unplaced-scaffold	102811		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000081.1	Chromosome		NW_022166121.1	unplaced-scaffold	385559		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000082.1	Chromosome		NW_022166216.1	unplaced-scaffold	25000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000083.1	Chromosome		NW_022166321.1	unplaced-scaffold	379579		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000084.1	Chromosome		NW_022166420.1	unplaced-scaffold	379541		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000085.1	Chromosome		NW_022166522.1	unplaced-scaffold	378854		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000086.1	Chromosome		NW_022166619.1	unplaced-scaffold	370359		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000087.1	Chromosome		NW_022166724.1	unplaced-scaffold	361796		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000088.1	Chromosome		NW_022166823.1	unplaced-scaffold	355602		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000089.1	Chromosome		NW_022166925.1	unplaced-scaffold	352415		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000090.1	Chromosome		NW_022167020.1	unplaced-scaffold	351182		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000091.1	Chromosome		NW_022167120.1	unplaced-scaffold	25000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000092.1	Chromosome		NW_022167222.1	unplaced-scaffold	58509		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000093.1	Chromosome		NW_022167319.1	unplaced-scaffold	338432		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000094.1	Chromosome		NW_022167418.1	unplaced-scaffold	336162		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000095.1	Chromosome		NW_022167523.1	unplaced-scaffold	330480		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000096.1	Chromosome		NW_022167625.1	unplaced-scaffold	316329		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000097.1	Chromosome		NW_022167723.1	unplaced-scaffold	315004		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000098.1	Chromosome		NW_022167822.1	unplaced-scaffold	25000		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000099.1	Chromosome		NW_022167925.1	unplaced-scaffold	121199		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000100.1	Chromosome		NW_022168027.1	unplaced-scaffold	303835		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000101.1	Chromosome		NW_022168122.1	unplaced-scaffold	302333		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000102.1	Chromosome		NW_022168222.1	unplaced-scaffold	301168		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000103.1	Chromosome		NW_022168322.1	unplaced-scaffold	301140		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000104.1	Chromosome		NW_022168425.1	unplaced-scaffold	297854		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000105.1	Chromosome		NW_022168525.1	unplaced-scaffold	296029		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000106.1	Chromosome		NW_022168625.1	unplaced-scaffold	295533		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000107.1	Chromosome		NW_022168729.1	unplaced-scaffold	293434		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000108.1	Chromosome		NW_022168830.1	unplaced-scaffold	291649		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000109.1	Chromosome		NW_022168934.1	unplaced-scaffold	281315		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000110.1	Chromosome		NW_022169035.1	unplaced-scaffold	277198		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000111.1	Chromosome		NW_022169137.1	unplaced-scaffold	271804		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000112.1	Chromosome		NW_022169240.1	unplaced-scaffold	270299		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000113.1	Chromosome		NW_022169347.1	unplaced-scaffold	269695		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000114.1	Chromosome		NW_022169450.1	unplaced-scaffold	267948		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000115.1	Chromosome		NW_022169551.1	unplaced-scaffold	267431		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000116.1	Chromosome		NW_022169651.1	unplaced-scaffold	266767		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000117.1	Chromosome		NW_022169748.1	unplaced-scaffold	266763		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000118.1	Chromosome		NW_022169851.1	unplaced-scaffold	264269		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000119.1	Chromosome		NW_022169952.1	unplaced-scaffold	261818		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000120.1	Chromosome		NW_022170057.1	unplaced-scaffold	261699		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000121.1	Chromosome		NW_022170156.1	unplaced-scaffold	260576		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000122.1	Chromosome		NW_022159129.1	unplaced-scaffold	260291		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000123.1	Chromosome		NW_022159226.1	unplaced-scaffold	258784		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000124.1	Chromosome		NW_022159326.1	unplaced-scaffold	257677		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000125.1	Chromosome		NW_022159423.1	unplaced-scaffold	256596		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000126.1	Chromosome		NW_022159525.1	unplaced-scaffold	256377		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000127.1	Chromosome		NW_022159626.1	unplaced-scaffold	255943		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000128.1	Chromosome		NW_022159723.1	unplaced-scaffold	255688		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000129.1	Chromosome		NW_022159822.1	unplaced-scaffold	249097		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000130.1	Chromosome		NW_022159922.1	unplaced-scaffold	248310		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000131.1	Chromosome		NW_022160023.1	unplaced-scaffold	247151		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000132.1	Chromosome		NW_022160125.1	unplaced-scaffold	244234		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000133.1	Chromosome		NW_022160228.1	unplaced-scaffold	244144		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000134.1	Chromosome		NW_022160328.1	unplaced-scaffold	244007		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000135.1	Chromosome		NW_022160429.1	unplaced-scaffold	243657		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000136.1	Chromosome		NW_022160528.1	unplaced-scaffold	242878		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000137.1	Chromosome		NW_022160635.1	unplaced-scaffold	239970		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000138.1	Chromosome		NW_022160742.1	unplaced-scaffold	239864		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000139.1	Chromosome		NW_022160848.1	unplaced-scaffold	239332		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000140.1	Chromosome		NW_022160949.1	unplaced-scaffold	230503		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000141.1	Chromosome		NW_022161054.1	unplaced-scaffold	227825		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000142.1	Chromosome		NW_022161137.1	unplaced-scaffold	226111		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000143.1	Chromosome		NW_022161148.1	unplaced-scaffold	224606		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000144.1	Chromosome		NW_022161159.1	unplaced-scaffold	223562		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000145.1	Chromosome		NW_022161170.1	unplaced-scaffold	221983		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000146.1	Chromosome		NW_022161181.1	unplaced-scaffold	220739		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000147.1	Chromosome		NW_022161192.1	unplaced-scaffold	220468		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000148.1	Chromosome		NW_022161203.1	unplaced-scaffold	217049		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000149.1	Chromosome		NW_022161214.1	unplaced-scaffold	216592		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000150.1	Chromosome		NW_022161225.1	unplaced-scaffold	216165		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000151.1	Chromosome		NW_022161236.1	unplaced-scaffold	214684		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000152.1	Chromosome		NW_022161248.1	unplaced-scaffold	214673		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000153.1	Chromosome		NW_022161259.1	unplaced-scaffold	214230		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000154.1	Chromosome		NW_022161270.1	unplaced-scaffold	212136		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000155.1	Chromosome		NW_022161281.1	unplaced-scaffold	210391		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000156.1	Chromosome		NW_022161292.1	unplaced-scaffold	210313		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000157.1	Chromosome		NW_022161303.1	unplaced-scaffold	210270		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000158.1	Chromosome		NW_022161314.1	unplaced-scaffold	207697		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000159.1	Chromosome		NW_022161325.1	unplaced-scaffold	206585		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000160.1	Chromosome		NW_022161336.1	unplaced-scaffold	206298		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000161.1	Chromosome		NW_022161347.1	unplaced-scaffold	205884		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000162.1	Chromosome		NW_022161359.1	unplaced-scaffold	205452		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000163.1	Chromosome		NW_022161370.1	unplaced-scaffold	205017		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000164.1	Chromosome		NW_022161381.1	unplaced-scaffold	203228		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000165.1	Chromosome		NW_022161392.1	unplaced-scaffold	203121		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000166.1	Chromosome		NW_022161403.1	unplaced-scaffold	202803		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000167.1	Chromosome		NW_022161414.1	unplaced-scaffold	199871		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000168.1	Chromosome		NW_022161425.1	unplaced-scaffold	196302		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000169.1	Chromosome		NW_022161436.1	unplaced-scaffold	195949		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000170.1	Chromosome		NW_022161447.1	unplaced-scaffold	193722		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000171.1	Chromosome		NW_022161458.1	unplaced-scaffold	193493		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000172.1	Chromosome		NW_022161470.1	unplaced-scaffold	191915		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000173.1	Chromosome		NW_022161481.1	unplaced-scaffold	190615		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000174.1	Chromosome		NW_022161492.1	unplaced-scaffold	188200		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000175.1	Chromosome		NW_022161503.1	unplaced-scaffold	188035		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000176.1	Chromosome		NW_022161514.1	unplaced-scaffold	186873		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000177.1	Chromosome		NW_022161525.1	unplaced-scaffold	186843		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000178.1	Chromosome		NW_022161536.1	unplaced-scaffold	186641		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000179.1	Chromosome		NW_022161547.1	unplaced-scaffold	186134		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000180.1	Chromosome		NW_022161557.1	unplaced-scaffold	185477		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000181.1	Chromosome		NW_022161568.1	unplaced-scaffold	185303		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000182.1	Chromosome		NW_022161580.1	unplaced-scaffold	184669		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000183.1	Chromosome		NW_022161591.1	unplaced-scaffold	184312		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000184.1	Chromosome		NW_022161602.1	unplaced-scaffold	181644		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000185.1	Chromosome		NW_022161613.1	unplaced-scaffold	180724		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000186.1	Chromosome		NW_022161624.1	unplaced-scaffold	179212		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000187.1	Chromosome		NW_022161635.1	unplaced-scaffold	179144		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000188.1	Chromosome		NW_022161646.1	unplaced-scaffold	178475		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000189.1	Chromosome		NW_022161657.1	unplaced-scaffold	176823		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000190.1	Chromosome		NW_022161668.1	unplaced-scaffold	176813		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000191.1	Chromosome		NW_022161679.1	unplaced-scaffold	176796		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000192.1	Chromosome		NW_022161691.1	unplaced-scaffold	176372		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000193.1	Chromosome		NW_022161702.1	unplaced-scaffold	176249		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000194.1	Chromosome		NW_022161713.1	unplaced-scaffold	175518		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000195.1	Chromosome		NW_022161724.1	unplaced-scaffold	174411		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000196.1	Chromosome		NW_022161735.1	unplaced-scaffold	173314		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000197.1	Chromosome		NW_022161746.1	unplaced-scaffold	173312		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000198.1	Chromosome		NW_022161757.1	unplaced-scaffold	173294		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000199.1	Chromosome		NW_022161768.1	unplaced-scaffold	173266		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000200.1	Chromosome		NW_022161779.1	unplaced-scaffold	172676		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000201.1	Chromosome		NW_022161789.1	unplaced-scaffold	170583		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000202.1	Chromosome		NW_022161801.1	unplaced-scaffold	170217		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000203.1	Chromosome		NW_022161812.1	unplaced-scaffold	170019		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000204.1	Chromosome		NW_022161823.1	unplaced-scaffold	168546		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000205.1	Chromosome		NW_022161834.1	unplaced-scaffold	168037		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000206.1	Chromosome		NW_022161845.1	unplaced-scaffold	167770		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000207.1	Chromosome		NW_022161856.1	unplaced-scaffold	167589		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000208.1	Chromosome		NW_022161867.1	unplaced-scaffold	165626		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000209.1	Chromosome		NW_022161877.1	unplaced-scaffold	165484		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000210.1	Chromosome		NW_022161888.1	unplaced-scaffold	165194		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000211.1	Chromosome		NW_022161899.1	unplaced-scaffold	164770		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000212.1	Chromosome		NW_022161911.1	unplaced-scaffold	164502		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000213.1	Chromosome		NW_022161922.1	unplaced-scaffold	163645		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000214.1	Chromosome		NW_022161933.1	unplaced-scaffold	163374		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000215.1	Chromosome		NW_022161944.1	unplaced-scaffold	163373		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000216.1	Chromosome		NW_022161955.1	unplaced-scaffold	163246		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000217.1	Chromosome		NW_022161966.1	unplaced-scaffold	163240		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000218.1	Chromosome		NW_022161977.1	unplaced-scaffold	163093		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000219.1	Chromosome		NW_022161988.1	unplaced-scaffold	162593		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000220.1	Chromosome		NW_022161999.1	unplaced-scaffold	160562		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000221.1	Chromosome		NW_022162010.1	unplaced-scaffold	158787		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000222.1	Chromosome		NW_022162023.1	unplaced-scaffold	158458		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000223.1	Chromosome		NW_022162033.1	unplaced-scaffold	158330		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000224.1	Chromosome		NW_022162044.1	unplaced-scaffold	158073		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000225.1	Chromosome		NW_022162055.1	unplaced-scaffold	157663		
GCF_008728515.1		Primary Assembly	Un			VSMJ01000226.1	Chromosome		NW_022162066.1	unplaced-scaffold	157466		
