Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Individual,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,tissue,create_date,version,isolate
SRR2565868,not applicable,WGS,150,8136104250,PRJNA295782,SAMN04095988,Model organism or animal,not applicable,3436411062,DUKE UNIVERSITY,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX1307864,AMB_018,Illumina HiSeq 2500,AMB_018,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_018,female,SRP064514,fecal-derived DNA,2015-10-06T14:19:00Z,1,
SRR2565869,not applicable,WGS,150,4862687250,PRJNA295782,SAMN04095989,Model organism or animal,not applicable,2070663865,DUKE UNIVERSITY,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX1307865,AMB_019,Illumina HiSeq 2500,AMB_019,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_019,male,SRP064514,fecal-derived DNA,2015-10-06T14:14:00Z,1,
SRR2565870,not applicable,WGS,150,6733632150,PRJNA295782,SAMN04095990,Model organism or animal,not applicable,2852802575,DUKE UNIVERSITY,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX1307866,AMB_020,Illumina HiSeq 2500,AMB_020,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_020,male,SRP064514,fecal-derived DNA,2015-10-06T14:24:00Z,1,
SRR2565871,not applicable,WGS,150,5131909800,PRJNA295782,SAMN04095991,Model organism or animal,not applicable,2155120349,DUKE UNIVERSITY,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX1307867,AMB_021,Illumina HiSeq 2500,AMB_021,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_021,female,SRP064514,fecal-derived DNA,2015-10-06T14:17:00Z,1,
SRR2565872,not applicable,WGS,150,5871807600,PRJNA295782,SAMN04095992,Model organism or animal,not applicable,2476612992,DUKE UNIVERSITY,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1307868,AMB_022,Illumina HiSeq 2500,AMB_022,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_022,female,SRP064514,fecal-derived DNA,2015-10-06T14:15:00Z,1,
SRR2565873,not applicable,WGS,150,4476199800,PRJNA295782,SAMN04095993,Model organism or animal,not applicable,1879870808,DUKE UNIVERSITY,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX1307869,AMB_023,Illumina HiSeq 2500,AMB_023,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_023,male,SRP064514,fecal-derived DNA,2015-10-06T14:14:00Z,1,
SRR2565874,not applicable,WGS,150,5481398850,PRJNA295782,SAMN04095994,Model organism or animal,not applicable,2300909667,DUKE UNIVERSITY,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX1307870,AMB_024,Illumina HiSeq 2500,AMB_024,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_024,male,SRP064514,fecal-derived DNA,2015-10-06T14:17:00Z,1,
SRR2565875,not applicable,WGS,202,4267761666,PRJNA295782,SAMN04095995,Model organism or animal,not applicable,2779205155,DUKE UNIVERSITY,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX1307871,AMB_025,Illumina HiSeq 2500,AMB_025,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_025,female,SRP064514,fecal-derived DNA,2015-10-06T14:16:00Z,1,
SRR2565876,not applicable,WGS,202,4188610592,PRJNA295782,SAMN04095996,Model organism or animal,not applicable,2696396727,DUKE UNIVERSITY,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1307872,AMB_026,Illumina HiSeq 2500,AMB_026,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_026,male,SRP064514,fecal-derived DNA,2015-10-06T14:14:00Z,1,
SRR2565877,not applicable,WGS,202,13893251748,PRJNA295782,SAMN04095997,Model organism or animal,not applicable,9177317006,DUKE UNIVERSITY,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX1307873,AMB_027,Illumina HiSeq 2500,AMB_027,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_027,male,SRP064514,fecal-derived DNA,2015-10-06T14:38:00Z,1,
SRR2565878,not applicable,WGS,202,4597034796,PRJNA295782,SAMN04095998,Model organism or animal,not applicable,2968723891,DUKE UNIVERSITY,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX1307874,AMB_028,Illumina HiSeq 2500,AMB_028,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_028,male,SRP064514,fecal-derived DNA,2015-10-06T14:15:00Z,1,
SRR2565879,not applicable,WGS,202,5280519976,PRJNA295782,SAMN04095999,Model organism or animal,not applicable,3419635462,DUKE UNIVERSITY,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX1307875,AMB_029,Illumina HiSeq 2500,AMB_029,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_029,male,SRP064514,fecal-derived DNA,2015-10-06T14:15:00Z,1,
SRR2565880,not applicable,WGS,202,4433274204,PRJNA295782,SAMN04096000,Model organism or animal,not applicable,2876360089,DUKE UNIVERSITY,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX1307876,AMB_030,Illumina HiSeq 2500,AMB_030,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_030,male,SRP064514,fecal-derived DNA,2015-10-06T14:14:00Z,1,
SRR2565881,not applicable,WGS,202,4166247576,PRJNA295782,SAMN04096001,Model organism or animal,not applicable,2705709309,DUKE UNIVERSITY,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX1307877,AMB_031,Illumina HiSeq 2500,AMB_031,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_031,female,SRP064514,fecal-derived DNA,2015-10-06T14:14:00Z,1,
SRR2565882,not applicable,WGS,202,4108059052,PRJNA295782,SAMN04096002,Model organism or animal,not applicable,2667970713,DUKE UNIVERSITY,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX1307878,AMB_032,Illumina HiSeq 2500,AMB_032,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_032,male,SRP064514,fecal-derived DNA,2015-10-06T14:14:00Z,1,
SRR2565883,not applicable,WGS,202,4348354818,PRJNA295782,SAMN04096003,Model organism or animal,not applicable,2818613925,DUKE UNIVERSITY,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX1307879,AMB_033,Illumina HiSeq 2500,AMB_033,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_033,male,SRP064514,fecal-derived DNA,2015-10-06T14:14:00Z,1,
SRR2565884,not applicable,WGS,202,4048745994,PRJNA295782,SAMN04096004,Model organism or animal,not applicable,2611556326,DUKE UNIVERSITY,public,"fastq,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1307880,AMB_034,Illumina HiSeq 2500,AMB_034,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_034,male,SRP064514,fecal-derived DNA,,,
SRR2565885,not applicable,WGS,202,5204201750,PRJNA295782,SAMN04096005,Model organism or animal,not applicable,3374292672,DUKE UNIVERSITY,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1307881,AMB_035,Illumina HiSeq 2500,AMB_035,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_035,male,SRP064514,fecal-derived DNA,2015-10-06T14:26:00Z,1,
SRR2565886,not applicable,WGS,202,9174093812,PRJNA295782,SAMN04096006,Model organism or animal,not applicable,5969542974,DUKE UNIVERSITY,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX1307882,AMB_036,Illumina HiSeq 2500,AMB_036,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_036,male,SRP064514,fecal-derived DNA,2015-10-06T14:21:00Z,1,
SRR2565887,not applicable,WGS,202,5245115436,PRJNA295782,SAMN04096007,Model organism or animal,not applicable,3389238948,DUKE UNIVERSITY,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1307883,AMB_037,Illumina HiSeq 2500,AMB_037,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_037,female,SRP064514,fecal-derived DNA,2015-10-06T14:15:00Z,1,
SRR2565888,not applicable,WGS,202,9094655090,PRJNA295782,SAMN04096008,Model organism or animal,not applicable,5906330491,DUKE UNIVERSITY,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX1307884,AMB_038,Illumina HiSeq 2500,AMB_038,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_038,female,SRP064514,fecal-derived DNA,2015-10-06T14:21:00Z,1,
SRR2565889,not applicable,WGS,202,4617535574,PRJNA295782,SAMN04096009,Model organism or animal,not applicable,3014456619,DUKE UNIVERSITY,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX1307885,AMB_039,Illumina HiSeq 2500,AMB_039,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_039,male,SRP064514,fecal-derived DNA,2015-10-06T14:15:00Z,1,
SRR2565890,not applicable,WGS,202,4148280282,PRJNA295782,SAMN04096010,Model organism or animal,not applicable,2697033853,DUKE UNIVERSITY,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX1307886,AMB_040,Illumina HiSeq 2500,AMB_040,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_040,female,SRP064514,fecal-derived DNA,2015-10-06T14:23:00Z,1,
SRR2565891,not applicable,WGS,202,7540424468,PRJNA295782,SAMN04096011,Model organism or animal,not applicable,4907488221,DUKE UNIVERSITY,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX1307887,AMB_041,Illumina HiSeq 2500,AMB_041,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_041,female,SRP064514,fecal-derived DNA,2015-10-06T14:21:00Z,1,
SRR2565892,not applicable,WGS,202,3091048238,PRJNA295782,SAMN04096012,Model organism or animal,not applicable,2004986903,DUKE UNIVERSITY,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX1307888,AMB_042,Illumina HiSeq 2500,AMB_042,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_042,female,SRP064514,fecal-derived DNA,2015-10-06T14:13:00Z,1,
SRR2565893,not applicable,WGS,202,7629391328,PRJNA295782,SAMN04096013,Model organism or animal,not applicable,4976146032,DUKE UNIVERSITY,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX1307889,AMB_043,Illumina HiSeq 2500,AMB_043,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_043,female,SRP064514,fecal-derived DNA,2015-10-06T14:18:00Z,1,
SRR2565894,not applicable,WGS,202,4556462692,PRJNA295782,SAMN04096014,Model organism or animal,not applicable,2940904507,DUKE UNIVERSITY,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX1307890,AMB_044,Illumina HiSeq 2500,AMB_044,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_044,female,SRP064514,fecal-derived DNA,2015-10-06T14:14:00Z,1,
SRR2565895,not applicable,WGS,202,9664346398,PRJNA295782,SAMN04096015,Model organism or animal,not applicable,6284034138,DUKE UNIVERSITY,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX1307891,AMB_045,Illumina HiSeq 2500,AMB_045,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_045,female,SRP064514,fecal-derived DNA,2015-10-06T14:24:00Z,1,
SRR2565896,not applicable,WGS,202,4146552374,PRJNA295782,SAMN04096016,Model organism or animal,not applicable,2638057971,DUKE UNIVERSITY,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX1307892,AMB_046,Illumina HiSeq 2500,AMB_046,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_046,male,SRP064514,fecal-derived DNA,2015-10-06T14:13:00Z,1,
SRR2565897,not applicable,WGS,202,3951988196,PRJNA295782,SAMN04096017,Model organism or animal,not applicable,2513317469,DUKE UNIVERSITY,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX1307893,AMB_047,Illumina HiSeq 2500,AMB_047,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_047,male,SRP064514,fecal-derived DNA,2015-10-06T14:12:00Z,1,
SRR2565898,not applicable,WGS,202,9016996998,PRJNA295782,SAMN04096018,Model organism or animal,not applicable,5749407199,DUKE UNIVERSITY,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX1307894,AMB_048,Illumina HiSeq 2500,AMB_048,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_048,male,SRP064514,fecal-derived DNA,2015-10-06T14:20:00Z,1,
SRR2565899,not applicable,WGS,202,4503957842,PRJNA295782,SAMN04096019,Model organism or animal,not applicable,2882775540,DUKE UNIVERSITY,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX1307895,AMB_049,Illumina HiSeq 2500,AMB_049,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_049,male,SRP064514,fecal-derived DNA,2015-10-06T14:14:00Z,1,
SRR2565900,not applicable,WGS,202,8463052802,PRJNA295782,SAMN04096020,Model organism or animal,not applicable,5422384732,DUKE UNIVERSITY,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX1307896,AMB_050,Illumina HiSeq 2500,AMB_050,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_050,male,SRP064514,fecal-derived DNA,2015-10-06T14:20:00Z,1,
SRR2565901,not applicable,WGS,202,3812852818,PRJNA295782,SAMN04096021,Model organism or animal,not applicable,2451472681,DUKE UNIVERSITY,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX1307897,AMB_051,Illumina HiSeq 2500,AMB_051,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_051,male,SRP064514,fecal-derived DNA,2015-10-06T14:12:00Z,1,
SRR2565902,not applicable,WGS,202,4256900934,PRJNA295782,SAMN04096022,Model organism or animal,not applicable,2741530296,DUKE UNIVERSITY,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX1307898,AMB_052,Illumina HiSeq 2500,AMB_052,PAIRED,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_052,male,SRP064514,fecal-derived DNA,2015-10-06T14:13:00Z,1,
SRR2565903,not applicable,WGS,100,97092700,PRJNA295782,SAMN04096023,Model organism or animal,not applicable,33386227,DUKE UNIVERSITY,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX1307899,GK_003,Illumina HiSeq 2500,GK_003,SINGLE,Hybrid Selection,GENOMIC,Papio papio,ILLUMINA,2016-04-14T00:00:00Z,GK_003,male,SRP064514,fecal-derived DNA,2015-10-06T14:06:00Z,1,
SRR2565904,not applicable,WGS,100,82260400,PRJNA295782,SAMN04096024,Model organism or animal,not applicable,27907149,DUKE UNIVERSITY,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX1307900,GK_004,Illumina HiSeq 2500,GK_004,SINGLE,Hybrid Selection,GENOMIC,Papio papio,ILLUMINA,2016-04-14T00:00:00Z,GK_004,female,SRP064514,fecal-derived DNA,2015-10-06T14:06:00Z,1,
SRR2565905,not applicable,WGS,100,130638600,PRJNA295782,SAMN04096025,Model organism or animal,not applicable,44650596,DUKE UNIVERSITY,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX1307901,GK_005,Illumina HiSeq 2500,GK_005,SINGLE,Hybrid Selection,GENOMIC,Papio papio,ILLUMINA,2016-04-14T00:00:00Z,GK_005,male,SRP064514,fecal-derived DNA,2015-10-06T14:06:00Z,1,
