Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Ecotype,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isol_growth_condt,isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,strain
SRR15559146,WGS,300,5134108800,PRJNA755322,SAMN20815311,MIGS.eu,1909674196,DUKE UNIVERSITY,Not applicable,public,Not applicable,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857390,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_230,Not applicable,AMB_230,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:44:00Z,1,AMB_230,SRP332951,Not applicable
SRR15559147,WGS,300,4270313700,PRJNA755322,SAMN20815077,MIGS.eu,1569867143,DUKE UNIVERSITY,Not applicable,public,Not applicable,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857389,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_229,Not applicable,AMB_229,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:41:00Z,1,AMB_229,SRP332951,Not applicable
SRR15559148,WGS,300,6977677500,PRJNA755322,SAMN20814926,MIGS.eu,2654934322,DUKE UNIVERSITY,Not applicable,public,Not applicable,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857388,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_228,Not applicable,AMB_228,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:53:00Z,1,AMB_228,SRP332951,Not applicable
SRR15559149,WGS,300,4562823900,PRJNA755322,SAMN20815256,MIGS.eu,1709011795,DUKE UNIVERSITY,Not applicable,public,Not applicable,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857387,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_226,Not applicable,AMB_226,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:45:00Z,1,AMB_226,SRP332951,Not applicable
SRR15559150,WGS,300,4357396800,PRJNA755322,SAMN20815107,MIGS.eu,1608275409,DUKE UNIVERSITY,Not applicable,public,Not applicable,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857386,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_225,Not applicable,AMB_225,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:42:00Z,1,AMB_225,SRP332951,Not applicable
SRR15559151,WGS,300,4851278100,PRJNA755322,SAMN20815075,MIGS.eu,1831565856,DUKE UNIVERSITY,Not applicable,public,Not applicable,"sra,fastq,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857385,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_224,Not applicable,AMB_224,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:43:00Z,1,AMB_224,SRP332951,Not applicable
SRR15559152,WGS,300,6287495700,PRJNA755322,SAMN20815112,MIGS.eu,2434150314,DUKE UNIVERSITY,Not applicable,public,Not applicable,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857384,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_220,Not applicable,AMB_220,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:45:00Z,1,AMB_220,SRP332951,Not applicable
SRR15559153,WGS,300,4319688600,PRJNA755322,SAMN20815071,MIGS.eu,1603459788,DUKE UNIVERSITY,Not applicable,public,Not applicable,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857383,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_219,Not applicable,AMB_219,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:41:00Z,1,AMB_219,SRP332951,Not applicable
SRR15559154,WGS,300,4470557100,PRJNA755322,SAMN20815015,MIGS.eu,1690652632,DUKE UNIVERSITY,Not applicable,public,Not applicable,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857382,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_218,Not applicable,AMB_218,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:43:00Z,1,AMB_218,SRP332951,Not applicable
SRR15559155,WGS,300,3740757300,PRJNA755322,SAMN20814935,MIGS.eu,1431341859,DUKE UNIVERSITY,Not applicable,public,Not applicable,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857381,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_217,Not applicable,AMB_217,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:45:00Z,1,AMB_217,SRP332951,Not applicable
SRR15559156,WGS,300,3365718600,PRJNA755322,SAMN20815001,MIGS.eu,1250240183,DUKE UNIVERSITY,Not applicable,public,Not applicable,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857380,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_024,Not applicable,AMB_024,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:40:00Z,1,AMB_024,SRP332951,Not applicable
SRR15559157,WGS,300,2962176000,PRJNA755322,SAMN20815177,MIGS.eu,1081536178,DUKE UNIVERSITY,Not applicable,public,Not applicable,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857379,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_216,Not applicable,AMB_216,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:39:00Z,1,AMB_216,SRP332951,Not applicable
SRR15559158,WGS,300,5553628500,PRJNA755322,SAMN20814924,MIGS.eu,2061494954,DUKE UNIVERSITY,Not applicable,public,Not applicable,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857378,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_215,Not applicable,AMB_215,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:45:00Z,1,AMB_215,SRP332951,Not applicable
SRR15559159,WGS,300,3146529600,PRJNA755322,SAMN20815226,MIGS.eu,1168248919,DUKE UNIVERSITY,Not applicable,public,Not applicable,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857377,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_213,Not applicable,AMB_213,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:39:00Z,1,AMB_213,SRP332951,Not applicable
SRR15559160,WGS,300,4212316500,PRJNA755322,SAMN20815103,MIGS.eu,1601898474,DUKE UNIVERSITY,Not applicable,public,Not applicable,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857376,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_210,Not applicable,AMB_210,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:43:00Z,1,AMB_210,SRP332951,Not applicable
SRR15559161,WGS,300,4955069100,PRJNA755322,SAMN20815160,MIGS.eu,1863684525,DUKE UNIVERSITY,Not applicable,public,Not applicable,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857375,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_209,Not applicable,AMB_209,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:43:00Z,1,AMB_209,SRP332951,Not applicable
SRR15559162,WGS,300,5317310400,PRJNA755322,SAMN20815097,MIGS.eu,1965051966,DUKE UNIVERSITY,Not applicable,public,Not applicable,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857374,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_206,Not applicable,AMB_206,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:47:00Z,1,AMB_206,SRP332951,Not applicable
SRR15559163,WGS,300,5411328000,PRJNA755322,SAMN20814960,MIGS.eu,2048440742,DUKE UNIVERSITY,Not applicable,public,Not applicable,"fastq,run.zq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857373,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_205,Not applicable,AMB_205,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:45:00Z,1,AMB_205,SRP332951,Not applicable
SRR15559164,WGS,300,4634915100,PRJNA755322,SAMN20814951,MIGS.eu,1726650181,DUKE UNIVERSITY,Not applicable,public,Not applicable,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857372,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_203,Not applicable,AMB_203,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:50:00Z,1,AMB_203,SRP332951,Not applicable
SRR15559165,WGS,300,5404223700,PRJNA755322,SAMN20815283,MIGS.eu,1992480108,DUKE UNIVERSITY,Not applicable,public,Not applicable,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857371,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_202,Not applicable,AMB_202,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:46:00Z,1,AMB_202,SRP332951,Not applicable
SRR15559166,WGS,300,4275742500,PRJNA755322,SAMN20815135,MIGS.eu,1626305292,DUKE UNIVERSITY,Not applicable,public,Not applicable,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857370,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_197,Not applicable,AMB_197,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:41:00Z,1,AMB_197,SRP332951,Not applicable
SRR15559167,WGS,300,4012741200,PRJNA755322,SAMN20815056,MIGS.eu,1508359223,DUKE UNIVERSITY,Not applicable,public,Not applicable,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857369,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_019,Not applicable,AMB_019,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:41:00Z,1,AMB_019,SRP332951,Not applicable
SRR15559168,WGS,300,4306446000,PRJNA755322,SAMN20815081,MIGS.eu,1616996386,DUKE UNIVERSITY,Not applicable,public,Not applicable,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857368,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_191,Not applicable,AMB_191,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:42:00Z,1,AMB_191,SRP332951,Not applicable
SRR15559169,WGS,300,3728198100,PRJNA755322,SAMN20815108,MIGS.eu,1425369548,DUKE UNIVERSITY,Not applicable,public,Not applicable,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857367,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_190,Not applicable,AMB_190,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:45:00Z,1,AMB_190,SRP332951,Not applicable
SRR15559170,WGS,300,4307688900,PRJNA755322,SAMN20815235,MIGS.eu,1601495932,DUKE UNIVERSITY,Not applicable,public,Not applicable,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857366,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_189,Not applicable,AMB_189,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:41:00Z,1,AMB_189,SRP332951,Not applicable
SRR15559171,WGS,300,3785422500,PRJNA755322,SAMN20815098,MIGS.eu,1461397655,DUKE UNIVERSITY,Not applicable,public,Not applicable,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857365,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_188,Not applicable,AMB_188,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:43:00Z,1,AMB_188,SRP332951,Not applicable
SRR15559172,WGS,300,3883181700,PRJNA755322,SAMN20815014,MIGS.eu,1421121107,DUKE UNIVERSITY,Not applicable,public,Not applicable,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857364,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_185,Not applicable,AMB_185,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:39:00Z,1,AMB_185,SRP332951,Not applicable
SRR15559173,WGS,300,3844574700,PRJNA755322,SAMN20815167,MIGS.eu,1413734651,DUKE UNIVERSITY,Not applicable,public,Not applicable,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857363,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_181,Not applicable,AMB_181,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:40:00Z,1,AMB_181,SRP332951,Not applicable
SRR15559174,WGS,300,3448865400,PRJNA755322,SAMN20815018,MIGS.eu,1283068173,DUKE UNIVERSITY,Not applicable,public,Not applicable,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857362,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_180,Not applicable,AMB_180,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:41:00Z,1,AMB_180,SRP332951,Not applicable
SRR15559175,WGS,300,3965389200,PRJNA755322,SAMN20815244,MIGS.eu,1449134045,DUKE UNIVERSITY,Not applicable,public,Not applicable,"sra,fastq,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857361,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_179,Not applicable,AMB_179,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:44:00Z,1,AMB_179,SRP332951,Not applicable
SRR15559176,WGS,300,5027981700,PRJNA755322,SAMN20815278,MIGS.eu,1865820875,DUKE UNIVERSITY,Not applicable,public,Not applicable,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857360,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_178,Not applicable,AMB_178,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:45:00Z,1,AMB_178,SRP332951,Not applicable
SRR15559177,WGS,300,4101960000,PRJNA755322,SAMN20815163,MIGS.eu,1543465703,DUKE UNIVERSITY,Not applicable,public,Not applicable,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857359,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_177,Not applicable,AMB_177,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T17:01:00Z,1,AMB_177,SRP332951,Not applicable
SRR15559178,WGS,300,5176248600,PRJNA755322,SAMN20815080,MIGS.eu,1886472167,DUKE UNIVERSITY,Not applicable,public,Not applicable,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857358,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_016,Not applicable,AMB_016,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:53:00Z,1,AMB_016,SRP332951,Not applicable
SRR15559179,WGS,300,3619806600,PRJNA755322,SAMN20815121,MIGS.eu,1370802508,DUKE UNIVERSITY,Not applicable,public,Not applicable,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857357,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_175,Not applicable,AMB_175,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:41:00Z,1,AMB_175,SRP332951,Not applicable
