Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,tissue,create_date,version,BREED,Cultivar,dev_stage,Ecotype,strain
SRR6956869,not collected,WGS,300,15796842300,PRJNA433868,SAMN08887660,Model organism or animal,6689078007,ZRHANNA'S SHARED SUBMISSIONS,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX3899913,HiSeq X Ten,16719,16719,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-06T00:00:00Z,16719,not collected,SRP132725,missing,2018-04-06T22:36:00Z,1,,,,,
SRR6956870,not collected,WGS,198,23941152404,PRJNA433868,SAMN08887736,Model organism or animal,16223170391,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX3899912,Illumina HiSeq 2500,15267,15267,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,15267,not collected,SRP132725,missing,2018-04-06T23:19:00Z,1,,,,,
SRR6956872,not collected,WGS,198,24743218057,PRJNA433868,SAMN08887737,Model organism or animal,16787603677,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX3899910,Illumina HiSeq 2500,15940,15940,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,15940,not collected,SRP132725,missing,2018-04-06T23:17:00Z,1,,,,,
SRR6956877,not collected,WGS,300,26287037400,PRJNA433868,SAMN08887712,Model organism or animal,10568552800,ZRHANNA'S SHARED SUBMISSIONS,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX3899905,HiSeq X Ten,14795,14795,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,14795,not collected,SRP132725,missing,2018-04-06T22:57:00Z,1,,,,,
SRR6956884,not collected,WGS,198,12831371370,PRJNA433868,SAMN08887684,Model organism or animal,8467117922,ZRHANNA'S SHARED SUBMISSIONS,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX3899898,Illumina HiSeq 2500,15600,15600,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,15600,not collected,SRP132725,missing,2018-04-06T22:40:00Z,1,,,,,
SRR6956886,not collected,WGS,198,11212311850,PRJNA433868,SAMN08887663,Model organism or animal,7581567372,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX3899896,Illumina HiSeq 2500,14076,14076,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-06T00:00:00Z,14076,not collected,SRP132725,missing,2018-04-06T22:35:00Z,1,,,,,
SRR6956887,not collected,WGS,198,17816763453,PRJNA433868,SAMN08887710,Model organism or animal,11681705432,ZRHANNA'S SHARED SUBMISSIONS,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX3899895,Illumina HiSeq 2500,14282,14282,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,14282,not collected,SRP132725,missing,2018-04-06T22:54:00Z,1,,,,,
SRR6956888,not collected,WGS,198,10991420646,PRJNA433868,SAMN08887662,Model organism or animal,7470886852,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX3899894,Illumina HiSeq 2500,14437,14437,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-06T00:00:00Z,14437,not collected,SRP132725,missing,2018-04-06T22:34:00Z,1,,,,,
SRR6956889,not collected,WGS,198,10886524717,PRJNA433868,SAMN08887658,Model organism or animal,7377055512,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX3899893,Illumina HiSeq 2500,14498,14498,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-06T00:00:00Z,14498,not collected,SRP132725,missing,2018-04-06T22:34:00Z,1,,,,,
SRR6956890,not collected,WGS,197,19607677347,PRJNA433868,SAMN08887726,Model organism or animal,12909382022,ZRHANNA'S SHARED SUBMISSIONS,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX3899892,Illumina HiSeq 2500,15652,15652,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,15652,not collected,SRP132725,missing,2018-04-06T23:00:00Z,1,,,,,
SRR6956892,not collected,WGS,198,17525538159,PRJNA433868,SAMN08887713,Model organism or animal,12022216283,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX3899890,Illumina HiSeq 2500,14865,14865,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,14865,not collected,SRP132725,missing,2018-04-06T22:53:00Z,1,,,,,
SRR6956897,not collected,WGS,299,15302734920,PRJNA433868,SAMN08887647,Model organism or animal,6361166889,ZRHANNA'S SHARED SUBMISSIONS,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3899885,HiSeq X Ten,16288,16288,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-06T00:00:00Z,16288,not collected,SRP132725,missing,2018-04-06T22:36:00Z,1,,,,,
SRR6956899,not collected,WGS,299,20258761308,PRJNA433868,SAMN08887685,Model organism or animal,8323764653,ZRHANNA'S SHARED SUBMISSIONS,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3899883,HiSeq X Ten,15736,15736,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,15736,not collected,SRP132725,missing,2018-04-06T22:45:00Z,1,,,,,
SRR6956900,not collected,WGS,299,30909792168,PRJNA433868,SAMN08887727,Model organism or animal,12976829986,ZRHANNA'S SHARED SUBMISSIONS,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX3899882,HiSeq X Ten,16510,16510,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16510,not collected,SRP132725,missing,2018-04-06T23:14:00Z,1,,,,,
SRR6956901,not collected,WGS,299,22589216976,PRJNA433868,SAMN08887697,Model organism or animal,9320819339,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX3899881,HiSeq X Ten,16121,16121,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16121,not collected,SRP132725,missing,2018-04-06T22:52:00Z,1,,,,,
SRR6956903,not collected,WGS,300,19472318100,PRJNA433868,SAMN08887686,Model organism or animal,7985971818,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX3899879,HiSeq X Ten,16056,16056,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16056,not collected,SRP132725,missing,2018-04-06T22:50:00Z,1,,,,,
SRR6956904,not collected,WGS,198,52112483546,PRJNA433868,SAMN08887764,Model organism or animal,33992273077,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX3899878,Illumina HiSeq 2500,11981,11981,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,11981,not collected,SRP132725,missing,2018-04-07T01:13:00Z,1,,,,,
SRR6956912,not collected,WGS,198,16531264833,PRJNA433868,SAMN08887705,Model organism or animal,10807067978,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3899870,Illumina HiSeq 2500,16122,16122,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16122,not collected,SRP132725,missing,2018-04-06T22:52:00Z,1,,,,,
SRR6956913,not collected,WGS,198,40418920614,PRJNA433868,SAMN08887762,Model organism or animal,26151731183,ZRHANNA'S SHARED SUBMISSIONS,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX3899869,Illumina HiSeq 2500,16550,16550,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16550,not collected,SRP132725,missing,2018-04-07T00:02:00Z,1,,,,,
SRR6956914,not collected,WGS,198,38470630330,PRJNA433868,SAMN08887761,Model organism or animal,24765867915,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX3899868,Illumina HiSeq 2500,16702,16702,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16702,not collected,SRP132725,missing,2018-04-07T00:06:00Z,1,,,,,
SRR6956915,not collected,WGS,198,16921375855,PRJNA433868,SAMN08887707,Model organism or animal,10927390960,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX3899867,Illumina HiSeq 2500,18713,18713,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,18713,not collected,SRP132725,missing,2018-04-06T22:53:00Z,1,,,,,
SRR6956916,not collected,WGS,198,18491063120,PRJNA433868,SAMN08887709,Model organism or animal,11860802980,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX3899866,Illumina HiSeq 2500,14273,14273,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,14273,not collected,SRP132725,missing,2018-04-06T23:03:00Z,1,,,,,
SRR6956917,not collected,WGS,198,11905936950,PRJNA433868,SAMN08887671,Model organism or animal,7712152192,ZRHANNA'S SHARED SUBMISSIONS,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX3899865,Illumina HiSeq 2500,18841,18841,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,18841,not collected,SRP132725,missing,2018-04-06T22:49:00Z,1,,,,,
SRR6956918,not collected,WGS,198,13906626367,PRJNA433868,SAMN08887699,Model organism or animal,8932860190,ZRHANNA'S SHARED SUBMISSIONS,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX3899864,Illumina HiSeq 2500,16678,16678,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16678,not collected,SRP132725,missing,2018-04-06T22:45:00Z,1,,,,,
SRR6956921,not collected,WGS,198,27148495613,PRJNA433868,SAMN08887746,Model organism or animal,17648531138,ZRHANNA'S SHARED SUBMISSIONS,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX3899861,Illumina HiSeq 2500,18469,18469,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,18469,not collected,SRP132725,missing,2018-04-07T00:21:00Z,1,,,,,
SRR6956974,not collected,WGS,198,9455497164,PRJNA433868,SAMN08887643,Model organism or animal,6035848443,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX3899808,Illumina HiSeq 2500,16417,16417,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-06T00:00:00Z,16417,not collected,SRP132725,missing,2018-04-06T22:35:00Z,1,,,,,
SRR6956976,not collected,WGS,198,29471850924,PRJNA433868,SAMN08887748,Model organism or animal,18713280763,ZRHANNA'S SHARED SUBMISSIONS,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX3899806,Illumina HiSeq 2500,15562,15562,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,15562,not collected,SRP132725,missing,2018-04-06T23:28:00Z,1,,,,,
SRR6956977,not collected,WGS,198,11097001620,PRJNA433868,SAMN08887654,Model organism or animal,6932442343,ZRHANNA'S SHARED SUBMISSIONS,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX3899805,Illumina HiSeq 2500,13068,13068,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,13068,not collected,SRP132725,missing,2018-04-06T22:40:00Z,1,,,,,
SRR6956978,not collected,WGS,197,12116345571,PRJNA433868,SAMN08887664,Model organism or animal,7436301215,ZRHANNA'S SHARED SUBMISSIONS,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX3899804,Illumina HiSeq 2500,16072,16072,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16072,not collected,SRP132725,missing,2018-04-06T22:45:00Z,1,,,,,
SRR10076328,missing,WGS,293,127748210988,PRJNA433868,SAMN12703509,Model organism or animal,57085166522,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX6809764,Illumina HiSeq 2500,1X1693,HKKKKCCXX_5_160403_FR07921205_Other__R_151123_JEFWAL_M008,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2019-09-06T00:00:00Z,1X1693,missing,SRP132725,blood,2019-09-06T00:05:00Z,1,missing,missing,missing,missing,missing
SRR10076329,missing,WGS,292,137701240269,PRJNA433868,SAMN12703508,Model organism or animal,60324686778,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6809763,Illumina HiSeq 2500,1X3321,HKKFLCCXX_1_160403_FR07921253_Other__R_151123_JEFWAL_M007,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2019-09-06T00:00:00Z,1X3321,missing,SRP132725,blood,2019-09-06T02:01:00Z,1,missing,missing,missing,missing,missing
SRR10076330,missing,WGS,300,19302221400,PRJNA433868,SAMN12703508,Model organism or animal,8072721010,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX6809762,Illumina HiSeq 2500,1X3321,1X3321,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2019-09-06T00:00:00Z,1X3321,missing,SRP132725,blood,2019-09-05T20:51:00Z,1,missing,missing,missing,missing,missing
SRR10076331,missing,WGS,289,144692086441,PRJNA433868,SAMN12703507,Model organism or animal,63926823309,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX6809761,Illumina HiSeq 2500,1X2892,HKKFLCCXX_2_160403_FR07921255_Other__R_151123_JEFWAL_M007,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2019-09-06T00:00:00Z,1X2892,missing,SRP132725,blood,2019-09-06T02:53:00Z,1,missing,missing,missing,missing,missing
SRR10076332,missing,WGS,293,142973958052,PRJNA433868,SAMN12703506,Model organism or animal,60655079953,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX6809760,Illumina HiSeq 2500,1X1487,HN5GMCCXX_7_160403_FR07921216_Other__R_151123_JEFWAL_M008,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2019-09-06T00:00:00Z,1X1487,missing,SRP132725,blood,2019-09-06T02:07:00Z,1,missing,missing,missing,missing,missing
SRR10076333,missing,WGS,300,94570127700,PRJNA433868,SAMN12703541,Model organism or animal,30664987981,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX6809759,Illumina HiSeq 2500,9128,9128,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2019-09-06T00:00:00Z,9128,missing,SRP132725,blood,2019-09-05T22:36:00Z,1,missing,missing,missing,missing,missing
SRR10076334,missing,WGS,300,98233674900,PRJNA433868,SAMN12703540,Model organism or animal,31779318938,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX6809758,Illumina HiSeq 2500,9045,9045,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2019-09-06T00:00:00Z,9045,missing,SRP132725,blood,2019-09-05T23:39:00Z,1,missing,missing,missing,missing,missing
SRR10076335,missing,WGS,300,79560498000,PRJNA433868,SAMN12703539,Model organism or animal,33471619526,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX6809757,Illumina HiSeq 2500,8395,8395,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2019-09-06T00:00:00Z,8395,missing,SRP132725,blood,2019-09-06T02:50:00Z,1,missing,missing,missing,missing,missing
SRR10076336,missing,WGS,300,86783316900,PRJNA433868,SAMN12703539,Model organism or animal,39604026609,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX6809756,Illumina HiSeq 2500,8395,2_8395,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2019-09-06T00:00:00Z,8395,missing,SRP132725,blood,2019-09-05T23:45:00Z,1,missing,missing,missing,missing,missing
SRR10076337,missing,WGS,300,101285242800,PRJNA433868,SAMN12703538,Model organism or animal,32910267300,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6809755,Illumina HiSeq 2500,8307,8307,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2019-09-06T00:00:00Z,8307,missing,SRP132725,blood,2019-09-05T23:45:00Z,1,missing,missing,missing,missing,missing
SRR10076338,missing,WGS,300,106453238700,PRJNA433868,SAMN12703537,Model organism or animal,34552488573,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX6809754,Illumina HiSeq 2500,7625,7625,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2019-09-06T00:00:00Z,7625,missing,SRP132725,blood,2019-09-05T23:36:00Z,1,missing,missing,missing,missing,missing
SRR10076339,missing,WGS,300,107945184600,PRJNA433868,SAMN12703536,Model organism or animal,34967219277,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX6809753,Illumina HiSeq 2500,6955,6955,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2019-09-06T00:00:00Z,6955,missing,SRP132725,blood,2019-09-06T00:31:00Z,1,missing,missing,missing,missing,missing
SRR10076340,missing,WGS,300,94564305300,PRJNA433868,SAMN12703535,Model organism or animal,30649483775,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX6809752,Illumina HiSeq 2500,6265,6265,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2019-09-06T00:00:00Z,6265,missing,SRP132725,blood,2019-09-06T01:08:00Z,1,missing,missing,missing,missing,missing
SRR10076341,missing,WGS,297,133589915337,PRJNA433868,SAMN12703534,Model organism or animal,61708823425,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6809751,Illumina HiSeq 2500,26196,HTYVWCCXX_2_160501_FR07919258_Other__R_151123_JEFWAL_M006,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2019-09-06T00:00:00Z,26196,missing,SRP132725,blood,2019-09-06T07:22:00Z,1,missing,missing,missing,missing,missing
SRR10076342,missing,WGS,295,144771358036,PRJNA433868,SAMN12703505,Model organism or animal,64591084275,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6809750,Illumina HiSeq 2500,14068,HKKKKCCXX_1_160403_FR07919470_Other__R_151123_JEFWAL_M008,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2019-09-06T00:00:00Z,14068,missing,SRP132725,blood,2019-09-06T09:12:00Z,1,missing,missing,missing,missing,missing
SRR10076343,missing,WGS,300,136420956600,PRJNA433868,SAMN12703534,Model organism or animal,43894109418,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX6809749,Illumina HiSeq 2500,26196,26196,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2019-09-06T00:00:00Z,26196,missing,SRP132725,blood,2019-09-06T01:00:00Z,1,missing,missing,missing,missing,missing
SRR10076344,missing,WGS,300,91471362000,PRJNA433868,SAMN12703533,Model organism or animal,42020447270,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"sra,fastq,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX6809748,Illumina HiSeq 2500,1X4519,5_1X4519,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2019-09-06T00:00:00Z,1X4519,missing,SRP132725,blood,2019-09-06T00:39:00Z,1,missing,missing,missing,missing,missing
