Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,isolate,Age,BIOMATERIAL_PROVIDER,BioSampleModel,tissue,BREED,COUNTRY,strain,isolation_source,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name
SRR5308406,WGS,267,68917502,PRJNA54005,SAMN02981400,163344595,BCM,public,"sff,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:20:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308407,WGS,267,78207337,PRJNA54005,SAMN02981400,184932858,BCM,public,"sff,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:20:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308408,WGS,269,78057271,PRJNA54005,SAMN02981400,171237916,BCM,public,"sra,sff,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:20:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308409,WGS,265,9906739,PRJNA54005,SAMN02981400,23373007,BCM,public,"run.zq,sra,sff","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:20:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308410,WGS,267,56401291,PRJNA54005,SAMN02981400,133790094,BCM,public,"sff,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:20:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308411,WGS,266,37306869,PRJNA54005,SAMN02981400,96018712,BCM,public,"run.zq,sra,sff","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308412,WGS,268,68724569,PRJNA54005,SAMN02981400,148526595,BCM,public,"sff,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308413,WGS,267,65834357,PRJNA54005,SAMN02981400,154215826,BCM,public,"run.zq,sff,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:20:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308414,WGS,267,65475559,PRJNA54005,SAMN02981400,152313625,BCM,public,"run.zq,sff,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:20:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308415,WGS,270,83041473,PRJNA54005,SAMN02981400,199209758,BCM,public,"sff,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308416,WGS,267,56294176,PRJNA54005,SAMN02981400,134853186,BCM,public,"run.zq,sff,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:20:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308417,WGS,274,28624120,PRJNA54005,SAMN02981400,69516095,BCM,public,"sra,sff,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:20:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308418,WGS,267,73255955,PRJNA54005,SAMN02981400,173198785,BCM,public,"sff,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308419,WGS,267,31037537,PRJNA54005,SAMN02981400,73005703,BCM,public,"sff,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:20:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308420,WGS,268,30037083,PRJNA54005,SAMN02981400,71650105,BCM,public,"run.zq,sff,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX2609524,454 GS FLX,4WG_PHAM.00_000sA,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:20:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308421,WGS,270,351726,PRJNA54005,SAMN02981400,853519,BCM,public,"sra,sff,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX2609523,454 GS FLX,4WG_PHAM.00_001sA,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:20:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308422,WGS,270,66137305,PRJNA54005,SAMN02981400,159784351,BCM,public,"sra,sff,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX2609524,454 GS FLX,4WG_PHAM.00_000sA,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308423,WGS,267,67946830,PRJNA54005,SAMN02981400,158283699,BCM,public,"run.zq,sra,sff","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308424,WGS,267,69610687,PRJNA54005,SAMN02981400,163945683,BCM,public,"sra,run.zq,sff","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308425,WGS,327,20492977,PRJNA54005,SAMN02981400,49007103,BCM,public,"sff,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:20:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308426,WGS,267,45889742,PRJNA54005,SAMN02981400,106916666,BCM,public,"sff,sra,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308427,WGS,267,83402672,PRJNA54005,SAMN02981400,196591043,BCM,public,"sff,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308428,WGS,267,17794702,PRJNA54005,SAMN02981400,40464777,BCM,public,"sra,sff,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:20:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308429,WGS,268,81914175,PRJNA54005,SAMN02981400,195686435,BCM,public,"run.zq,sff,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308430,WGS,327,99018744,PRJNA54005,SAMN02981400,226117029,BCM,public,"sra,run.zq,sff","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308431,WGS,267,82495298,PRJNA54005,SAMN02981400,194748078,BCM,public,"sff,sra,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308432,WGS,267,52023888,PRJNA54005,SAMN02981400,123822523,BCM,public,"sra,sff,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308433,WGS,268,66667493,PRJNA54005,SAMN02981400,158495789,BCM,public,"sra,sff,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX2609524,454 GS FLX,4WG_PHAM.00_000sA,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308434,WGS,266,85908595,PRJNA54005,SAMN02981400,202197551,BCM,public,"run.zq,sra,sff","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308435,WGS,267,66781803,PRJNA54005,SAMN02981400,156933718,BCM,public,"sff,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308436,WGS,270,72921234,PRJNA54005,SAMN02981400,175844203,BCM,public,"sra,run.zq,sff","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308437,WGS,267,79908881,PRJNA54005,SAMN02981400,187031128,BCM,public,"sra,run.zq,sff","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308438,WGS,269,70744383,PRJNA54005,SAMN02981400,164942785,BCM,public,"sra,sff,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX2609522,454 GS FLX,4WG_PHAM.00_000pA,PAIRED,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308439,WGS,267,68874975,PRJNA54005,SAMN02981400,163724820,BCM,public,"sff,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308440,WGS,267,76084353,PRJNA54005,SAMN02981400,178421268,BCM,public,"sra,run.zq,sff","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308441,WGS,267,72121428,PRJNA54005,SAMN02981400,167997875,BCM,public,"run.zq,sff,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308442,WGS,271,59838240,PRJNA54005,SAMN02981400,144158774,BCM,public,"run.zq,sra,sff","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308443,WGS,267,77160634,PRJNA54005,SAMN02981400,182770545,BCM,public,"run.zq,sra,sff","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308444,WGS,267,66046986,PRJNA54005,SAMN02981400,153445318,BCM,public,"sra,sff,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308445,WGS,267,56727070,PRJNA54005,SAMN02981400,135019089,BCM,public,"sff,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
