Run,Assay Type,BioProject,BioSample,Center Name,Consent,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Scientific_Name,SRA Study,external_id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Sample_Name,Submitter_Id,DATASTORE filetype,DATASTORE provider,DATASTORE region,create_date,version,AvgSpotLen,Bases,Bytes,common_name,lat_lon,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),Specimen_voucher,isolate,sub_species,organism,type-material,AssemblyName
ERR11493839,WGS,PRJEB59576,SAMEA112483087,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900015,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483087,Macaca radiata,ERP144627,SAMEA112483087,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0558,PD_0558,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",2023-09-24T12:53:00Z,1,300,26566843659,9445130474,bonnet macaque,,,,,,,,,,
ERR11493840,WGS,PRJEB59576,SAMEA112483087,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900016,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483087,Macaca radiata,ERP144627,SAMEA112483087,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0558,PD_0558,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2023-09-24T12:49:00Z,1,300,26541603908,9436855902,bonnet macaque,,,,,,,,,,
ERR11493841,WGS,PRJEB59576,SAMEA112483087,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900017,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483087,Macaca radiata,ERP144627,SAMEA112483087,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0558,PD_0558,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2023-09-24T12:36:00Z,1,300,26660661757,9500026489,bonnet macaque,,,,,,,,,,
ERR11493842,WGS,PRJEB59576,SAMEA112483088,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900018,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483088,Macaca radiata,ERP144627,SAMEA112483088,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0559,PD_0559,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",2023-09-24T12:48:00Z,1,300,30446408657,10742395942,bonnet macaque,,,,,,,,,,
ERR11493843,WGS,PRJEB59576,SAMEA112483088,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900019,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483088,Macaca radiata,ERP144627,SAMEA112483088,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0559,PD_0559,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",2023-09-24T12:45:00Z,1,300,30249718519,10710651101,bonnet macaque,,,,,,,,,,
ERR11493844,WGS,PRJEB59576,SAMEA112483088,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900020,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483088,Macaca radiata,ERP144627,SAMEA112483088,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0559,PD_0559,"fastq,sra,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",2023-09-24T12:50:00Z,1,300,30159486104,10677747284,bonnet macaque,,,,,,,,,,
ERR11493845,WGS,PRJEB59576,SAMEA112483088,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900021,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483088,Macaca radiata,ERP144627,SAMEA112483088,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0559,PD_0559,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",2023-09-24T12:46:00Z,1,300,30226629216,10726108256,bonnet macaque,,,,,,,,,,
ERR11493846,WGS,PRJEB59576,SAMEA112483089,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900022,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483089,Macaca radiata,ERP144627,SAMEA112483089,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0560,PD_0560,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2023-09-24T12:45:00Z,1,300,26867853395,8645378730,bonnet macaque,,,,,,,,,,
ERR11493847,WGS,PRJEB59576,SAMEA112483089,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900023,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483089,Macaca radiata,ERP144627,SAMEA112483089,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0560,PD_0560,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",2023-09-24T12:45:00Z,1,300,28146457195,9058561409,bonnet macaque,,,,,,,,,,
ERR11493848,WGS,PRJEB59576,SAMEA112483089,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900024,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483089,Macaca radiata,ERP144627,SAMEA112483089,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0560,PD_0560,"run.zq,sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",2023-10-05T03:23:00Z,1,300,26984943535,8680022395,bonnet macaque,,,,,,,,,,
ERR11493849,WGS,PRJEB59576,SAMEA112483089,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900025,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483089,Macaca radiata,ERP144627,SAMEA112483089,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0560,PD_0560,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",2023-09-24T12:36:00Z,1,300,27248589365,8772364310,bonnet macaque,,,,,,,,,,
ERR11493850,WGS,PRJEB59576,SAMEA112483090,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900026,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483090,Macaca radiata,ERP144627,SAMEA112483090,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0561,PD_0561,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",2023-09-24T12:44:00Z,1,300,23606698306,7790547096,bonnet macaque,,,,,,,,,,
ERR11493851,WGS,PRJEB59576,SAMEA112483090,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900027,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483090,Macaca radiata,ERP144627,SAMEA112483090,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0561,PD_0561,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",2023-09-24T12:35:00Z,1,300,24865748912,8218575673,bonnet macaque,,,,,,,,,,
ERR11493852,WGS,PRJEB59576,SAMEA112483090,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900028,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483090,Macaca radiata,ERP144627,SAMEA112483090,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0561,PD_0561,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",2023-09-24T12:51:00Z,1,300,23745517449,7838560090,bonnet macaque,,,,,,,,,,
ERR11493853,WGS,PRJEB59576,SAMEA112483090,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900029,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483090,Macaca radiata,ERP144627,SAMEA112483090,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0561,PD_0561,"run.zq,sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",2023-09-24T14:03:00Z,1,300,24025074858,7934609284,bonnet macaque,,,,,,,,,,
ERR11493854,WGS,PRJEB59576,SAMEA112483091,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900030,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483091,Macaca radiata,ERP144627,SAMEA112483091,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0562,PD_0562,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",2023-09-24T14:51:00Z,1,300,70330182385,23469311848,bonnet macaque,,,,,,,,,,
ERR11493855,WGS,PRJEB59576,SAMEA112483091,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900031,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483091,Macaca radiata,ERP144627,SAMEA112483091,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0562,PD_0562,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2023-09-24T14:37:00Z,1,300,71810257747,23939652275,bonnet macaque,,,,,,,,,,
ERR11493856,WGS,PRJEB59576,SAMEA112483091,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900032,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483091,Macaca radiata,ERP144627,SAMEA112483091,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0562,PD_0562,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2023-09-24T14:34:00Z,1,300,69254663756,23012594417,bonnet macaque,,,,,,,,,,
ERR11493857,WGS,PRJEB59576,SAMEA112483091,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900033,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483091,Macaca radiata,ERP144627,SAMEA112483091,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0562,PD_0562,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",2023-09-24T22:37:00Z,2,300,70992814277,23502650026,bonnet macaque,,,,,,,,,,
ERR11493858,WGS,PRJEB59576,SAMEA112483092,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900034,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483092,Macaca radiata,ERP144627,SAMEA112483092,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0563,PD_0563,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",2023-09-24T14:25:00Z,1,300,47187026599,15807677545,bonnet macaque,,,,,,,,,,
ERR11493859,WGS,PRJEB59576,SAMEA112483092,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900035,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483092,Macaca radiata,ERP144627,SAMEA112483092,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0563,PD_0563,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",2023-09-24T14:01:00Z,1,300,48230357353,16146241914,bonnet macaque,,,,,,,,,,
ERR11493860,WGS,PRJEB59576,SAMEA112483092,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900036,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483092,Macaca radiata,ERP144627,SAMEA112483092,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0563,PD_0563,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",2023-09-24T14:25:00Z,1,300,46352204926,15459902012,bonnet macaque,,,,,,,,,,
ERR11493861,WGS,PRJEB59576,SAMEA112483092,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900037,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483092,Macaca radiata,ERP144627,SAMEA112483092,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0563,PD_0563,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",2023-09-24T14:31:00Z,1,300,47534584693,15786900641,bonnet macaque,,,,,,,,,,
ERR11493862,WGS,PRJEB59576,SAMEA112483093,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900038,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483093,Macaca radiata,ERP144627,SAMEA112483093,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0564,PD_0564,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",2023-09-24T14:05:00Z,1,300,26522966078,8911509610,bonnet macaque,,,,,,,,,,
ERR11493863,WGS,PRJEB59576,SAMEA112483093,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900039,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483093,Macaca radiata,ERP144627,SAMEA112483093,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0564,PD_0564,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",2023-09-24T14:26:00Z,1,300,26994747844,9060857194,bonnet macaque,,,,,,,,,,
